file,title,url,word_count,has_tables,has_infobox,chosen_from
Bipasha Basu.txt,Bipasha Basu,https://so.wikipedia.org/wiki?curid=31498,200,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Boosaaso.txt,Boosaaso,https://so.wikipedia.org/wiki?curid=3179,1694,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Cal Madow.txt,Cal Madow,https://so.wikipedia.org/wiki?curid=5491,292,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Kubedka UNAF_Kubedka CECAFA.txt,Kubedka UNAF/Kubedka CECAFA,https://so.wikipedia.org/wiki?curid=37111,20,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Microsoft Windows.txt,Microsoft Windows,https://so.wikipedia.org/wiki?curid=3456,20,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
"Wadada W Howlwadaag Muqadishu ,Somalia.txt","Wadada W Howlwadaag Muqadishu ,Somalia",https://so.wikipedia.org/wiki?curid=35421,14,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Bambi Woods.txt,Bambi Woods,https://so.wikipedia.org/wiki?curid=32672,92,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Xero Dhagaxley.txt,Xero Dhagaxley,https://so.wikipedia.org/wiki?curid=4955,98,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Gegada diyaaradaha Gerbohaareey.txt,Gegada diyaaradaha Gerbohaareey,https://so.wikipedia.org/wiki?curid=20809,233,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Jaamac Yare.txt,Jaamac Yare,https://so.wikipedia.org/wiki?curid=35004,54,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Momo.txt,Momo,https://so.wikipedia.org/wiki?curid=30208,117,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Rina Hashimoto.txt,Rina Hashimoto,https://so.wikipedia.org/wiki?curid=33350,49,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Sardiiniya.txt,Sardiiniya,https://so.wikipedia.org/wiki?curid=3032,14,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
SEA-ME-WE 5.txt,SEA-ME-WE 5,https://so.wikipedia.org/wiki?curid=28254,30,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
2017.txt,2017,https://so.wikipedia.org/wiki?curid=18423,248,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Photoplay.txt,Photoplay,https://so.wikipedia.org/wiki?curid=32603,74,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Banaaney.txt,Banaaney,https://so.wikipedia.org/wiki?curid=8006,68,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Bariis iskukaris.txt,Bariis iskukaris,https://so.wikipedia.org/wiki?curid=39612,140,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Sharciga-Taipei Act 2019.txt,Sharciga-Taipei Act 2019,https://so.wikipedia.org/wiki?curid=31307,89,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Karin (degaan).txt,Karin (degaan),https://so.wikipedia.org/wiki?curid=21348,185,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Waaxda Sharciga Ganacsiga Caalamiga Qaramada Midoobay.txt,Waaxda Sharciga Ganacsiga Caalamiga Qaramada Midoobay,https://so.wikipedia.org/wiki?curid=17785,338,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Haramcad.txt,Haramcad,https://so.wikipedia.org/wiki?curid=4865,163,0,0,/Users/user/data/sowiki-20250901/sowiki_txt
Fiktoria.txt,Fiktoria,https://so.wikipedia.org/wiki?curid=7150,223,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
CASA_IPTN CN-235.txt,CASA/IPTN CN-235,https://so.wikipedia.org/wiki?curid=37168,27,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Fatih Terim.txt,Fatih Terim,https://so.wikipedia.org/wiki?curid=19043,286,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
